sentence,translation,translation_extra,messages
Find the twin who stole the pearl necklace.,"Who stole the pearl necklace, find the twin, you must.","Who stole the pearl necklace, find the twin, you must. Yes, hrrrm.","[{'content': 'Find the twin who stole the pearl necklace.', 'role': 'user'}
 {'content': 'Who stole the pearl necklace, find the twin, you must.', 'role': 'assistant'}
 {'content': 'Who stole the pearl necklace, find the twin, you must. Yes, hrrrm.', 'role': 'assistant'}]"
The rope will bind the seven books at once.,"Bind the seven books at once, the rope will.","Bind the seven books at once, the rope will.","[{'content': 'The rope will bind the seven books at once.', 'role': 'user'}
 {'content': 'Bind the seven books at once, the rope will.', 'role': 'assistant'}
 {'content': 'Bind the seven books at once, the rope will.', 'role': 'assistant'}]"
"The youth drove with zest, but little skill.","With zest but little skill, the youth drove.","With zest but little skill, the youth drove.","[{'content': 'The youth drove with zest, but little skill.', 'role': 'user'}
 {'content': 'With zest but little skill, the youth drove.', 'role': 'assistant'}
 {'content': 'With zest but little skill, the youth drove.', 'role': 'assistant'}]"
A fresh start will work such wonders.,"Such wonders, a fresh start will work.","Such wonders, a fresh start will work.","[{'content': 'A fresh start will work such wonders.', 'role': 'user'}
 {'content': 'Such wonders, a fresh start will work.', 'role': 'assistant'}
 {'content': 'Such wonders, a fresh start will work.', 'role': 'assistant'}]"
The beam dropped down on the workmen's head.,"Dropped down on the workmen's head, the beam did.","Dropped down on the workmen's head, the beam did.","[{'content': ""The beam dropped down on the workmen's head."", 'role': 'user'}
 {'content': ""Dropped down on the workmen's head, the beam did."", 'role': 'assistant'}
 {'content': ""Dropped down on the workmen's head, the beam did."", 'role': 'assistant'}]"
Farmers came in to thresh the oat crop.,"To thresh the oat crop, farmers came in.","To thresh the oat crop, farmers came in. Hrmmm.","[{'content': 'Farmers came in to thresh the oat crop.', 'role': 'user'}
 {'content': 'To thresh the oat crop, farmers came in.', 'role': 'assistant'}
 {'content': 'To thresh the oat crop, farmers came in. Hrmmm.', 'role': 'assistant'}]"
Glass will clink when struck by metal.,"When struck by metal, glass, clink, will.","Hrrmmm. When struck by metal, glass, clink, will. Hrmmm.","[{'content': 'Glass will clink when struck by metal.', 'role': 'user'}
 {'content': 'When struck by metal, glass, clink, will.', 'role': 'assistant'}
 {'content': 'Hrrmmm. When struck by metal, glass, clink, will. Hrmmm.', 'role': 'assistant'}]"
The sofa cushion is red and of light weight.,"Red and of light weight, the sofa cushion is.","Hrrmmm. Red and of light weight, the sofa cushion is. Hmm.","[{'content': 'The sofa cushion is red and of light weight.', 'role': 'user'}
 {'content': 'Red and of light weight, the sofa cushion is.', 'role': 'assistant'}
 {'content': 'Hrrmmm. Red and of light weight, the sofa cushion is. Hmm.', 'role': 'assistant'}]"
The theft of the pearl pin was kept secret.,"Kept secret, the theft of the pearl pin was.","Hrrmmm. Kept secret, the theft of the pearl pin was.","[{'content': 'The theft of the pearl pin was kept secret.', 'role': 'user'}
 {'content': 'Kept secret, the theft of the pearl pin was.', 'role': 'assistant'}
 {'content': 'Hrrmmm. Kept secret, the theft of the pearl pin was.', 'role': 'assistant'}]"
The stale smell of old beer lingers.,"Of old beer lingers, the stale smell.","Of old beer lingers, the stale smell.","[{'content': 'The stale smell of old beer lingers.', 'role': 'user'}
 {'content': 'Of old beer lingers, the stale smell.', 'role': 'assistant'}
 {'content': 'Of old beer lingers, the stale smell.', 'role': 'assistant'}]"
No hardship seemed to keep him sad.,"To keep him sad, no hardship seemed.","To keep him sad, no hardship seemed. Yrsssss.","[{'content': 'No hardship seemed to keep him sad.', 'role': 'user'}
 {'content': 'To keep him sad, no hardship seemed.', 'role': 'assistant'}
 {'content': 'To keep him sad, no hardship seemed. Yrsssss.', 'role': 'assistant'}]"
A rag will soak up spilled water.,"Soak up spilled water, a rag will.","Soak up spilled water, a rag will.","[{'content': 'A rag will soak up spilled water.', 'role': 'user'}
 {'content': 'Soak up spilled water, a rag will.', 'role': 'assistant'}
 {'content': 'Soak up spilled water, a rag will.', 'role': 'assistant'}]"
They took their kids from the public school.,"From the public school, their kids they took.","From the public school, their kids they took. Hrmmm.","[{'content': 'They took their kids from the public school.', 'role': 'user'}
 {'content': 'From the public school, their kids they took.', 'role': 'assistant'}
 {'content': 'From the public school, their kids they took. Hrmmm.', 'role': 'assistant'}]"
Roads are paved with sticky tar.,"With sticky tar, roads are paved.","With sticky tar, roads are paved. Hmm.","[{'content': 'Roads are paved with sticky tar.', 'role': 'user'}
 {'content': 'With sticky tar, roads are paved.', 'role': 'assistant'}
 {'content': 'With sticky tar, roads are paved. Hmm.', 'role': 'assistant'}]"
We find joy in the simplest things.,"In the simplest things, joy we find.","In the simplest things, joy we find.","[{'content': 'We find joy in the simplest things.', 'role': 'user'}
 {'content': 'In the simplest things, joy we find.', 'role': 'assistant'}
 {'content': 'In the simplest things, joy we find.', 'role': 'assistant'}]"
It's easy to tell the depth of a well.,"Easy it is, to tell the depth of a well.","Easy it is, to tell the depth of a well.","[{'content': ""It's easy to tell the depth of a well."", 'role': 'user'}
 {'content': 'Easy it is, to tell the depth of a well.', 'role': 'assistant'}
 {'content': 'Easy it is, to tell the depth of a well.', 'role': 'assistant'}]"
The good book informs of what we ought to know.,"Of what we ought to know, the good book informs.","Of what we ought to know, the good book informs.","[{'content': 'The good book informs of what we ought to know.', 'role': 'user'}
 {'content': 'Of what we ought to know, the good book informs.', 'role': 'assistant'}
 {'content': 'Of what we ought to know, the good book informs.', 'role': 'assistant'}]"
Lift the square stone over the fence.,"Over the fence, lift the square stone, you must.","Over the fence, lift the square stone, you must. Yrsssss.","[{'content': 'Lift the square stone over the fence.', 'role': 'user'}
 {'content': 'Over the fence, lift the square stone, you must.', 'role': 'assistant'}
 {'content': 'Over the fence, lift the square stone, you must. Yrsssss.', 'role': 'assistant'}]"
The wrist was badly strained and hung limp.,"Badly strained and hung limp, the wrist was.","Badly strained and hung limp, the wrist was.","[{'content': 'The wrist was badly strained and hung limp.', 'role': 'user'}
 {'content': 'Badly strained and hung limp, the wrist was.', 'role': 'assistant'}
 {'content': 'Badly strained and hung limp, the wrist was.', 'role': 'assistant'}]"
Draw the chart with heavy black lines.,"With heavy black lines, draw the chart, you must.","With heavy black lines, draw the chart, you must. Yrsssss.","[{'content': 'Draw the chart with heavy black lines.', 'role': 'user'}
 {'content': 'With heavy black lines, draw the chart, you must.', 'role': 'assistant'}
 {'content': 'With heavy black lines, draw the chart, you must. Yrsssss.', 'role': 'assistant'}]"
Five years he lived with a shaggy dog.,"With a shaggy dog, five years, he lived.","With a shaggy dog, five years, he lived. Yrsssss.","[{'content': 'Five years he lived with a shaggy dog.', 'role': 'user'}
 {'content': 'With a shaggy dog, five years, he lived.', 'role': 'assistant'}
 {'content': 'With a shaggy dog, five years, he lived. Yrsssss.', 'role': 'assistant'}]"
They are pushed back each time they attack.,"Each time they attack, pushed back they are.","Each time they attack, pushed back they are.","[{'content': 'They are pushed back each time they attack.', 'role': 'user'}
 {'content': 'Each time they attack, pushed back they are.', 'role': 'assistant'}
 {'content': 'Each time they attack, pushed back they are.', 'role': 'assistant'}]"
The dirt piles were lines along the road.,"Lined along the road, the dirt piles were.","Lined along the road, the dirt piles were.","[{'content': 'The dirt piles were lines along the road.', 'role': 'user'}
 {'content': 'Lined along the road, the dirt piles were.', 'role': 'assistant'}
 {'content': 'Lined along the road, the dirt piles were.', 'role': 'assistant'}]"
The hinge on the door creaked with old age.,"Creaked with old age, the hinge on the door did.","Creaked with old age, the hinge on the door did.","[{'content': 'The hinge on the door creaked with old age.', 'role': 'user'}
 {'content': 'Creaked with old age, the hinge on the door did.', 'role': 'assistant'}
 {'content': 'Creaked with old age, the hinge on the door did.', 'role': 'assistant'}]"
Tin cans are absent from store shelves.,"Absent from store shelves, tin cans are.","Absent from store shelves, tin cans are.","[{'content': 'Tin cans are absent from store shelves.', 'role': 'user'}
 {'content': 'Absent from store shelves, tin cans are.', 'role': 'assistant'}
 {'content': 'Absent from store shelves, tin cans are.', 'role': 'assistant'}]"
Seed is needed to plant the spring corn.,"To plant the spring corn, seed needed is.","To plant the spring corn, seed needed is.","[{'content': 'Seed is needed to plant the spring corn.', 'role': 'user'}
 {'content': 'To plant the spring corn, seed needed is.', 'role': 'assistant'}
 {'content': 'To plant the spring corn, seed needed is.', 'role': 'assistant'}]"
The bark of the pine tree was shiny and dark.,"Shiny and dark, the bark of the pine tree was.","Hrrmmm. Shiny and dark, the bark of the pine tree was.","[{'content': 'The bark of the pine tree was shiny and dark.', 'role': 'user'}
 {'content': 'Shiny and dark, the bark of the pine tree was.', 'role': 'assistant'}
 {'content': 'Hrrmmm. Shiny and dark, the bark of the pine tree was.', 'role': 'assistant'}]"
The marsh will freeze when cold enough.,"When cold enough, the marsh freeze will.","When cold enough, the marsh freeze will. Hmm.","[{'content': 'The marsh will freeze when cold enough.', 'role': 'user'}
 {'content': 'When cold enough, the marsh freeze will.', 'role': 'assistant'}
 {'content': 'When cold enough, the marsh freeze will. Hmm.', 'role': 'assistant'}]"
Large size in stockings is hard to sell.,"Hard to sell, large size in stockings is.","Hard to sell, large size in stockings is.","[{'content': 'Large size in stockings is hard to sell.', 'role': 'user'}
 {'content': 'Hard to sell, large size in stockings is.', 'role': 'assistant'}
 {'content': 'Hard to sell, large size in stockings is.', 'role': 'assistant'}]"
In some forin or other we need fun.,"In some form or other, fun we need.","In some form or other, fun we need.","[{'content': 'In some forin or other we need fun.', 'role': 'user'}
 {'content': 'In some form or other, fun we need.', 'role': 'assistant'}
 {'content': 'In some form or other, fun we need.', 'role': 'assistant'}]"
The black trunk fell from the landing.,"From the landing, the black trunk fell.","From the landing, the black trunk fell.","[{'content': 'The black trunk fell from the landing.', 'role': 'user'}
 {'content': 'From the landing, the black trunk fell.', 'role': 'assistant'}
 {'content': 'From the landing, the black trunk fell.', 'role': 'assistant'}]"
Green ice frosted the punch bowl.,"Frosted the punch bowl, green ice did.","Frosted the punch bowl, green ice did.","[{'content': 'Green ice frosted the punch bowl.', 'role': 'user'}
 {'content': 'Frosted the punch bowl, green ice did.', 'role': 'assistant'}
 {'content': 'Frosted the punch bowl, green ice did.', 'role': 'assistant'}]"
The harder he tried the less he got done.,"The less he got done, the harder he tried.","The less he got done, the harder he tried.","[{'content': 'The harder he tried the less he got done.', 'role': 'user'}
 {'content': 'The less he got done, the harder he tried.', 'role': 'assistant'}
 {'content': 'The less he got done, the harder he tried.', 'role': 'assistant'}]"
